emp_no,first_name,last_name,gender,birth_date,hire_date,dept_no
160,Linda,Anderson,F,1995-05-16,2022-01-17,D020
161,Robert,Johnson,M,1997-12-03,2021-07-22,D011
162,Michelle,Anderson,F,1988-09-18,2023-01-02,D012
163,David,Wilson,M,1985-11-25,2020-09-27,D013
164,Lisa,Moore,F,1990-04-29,2022-02-14,D014
165,Michael,Smith,M,1986-03-06,2020-08-20,D015
166,Susan,Jones,F,1987-05-11,2021-11-30,D016
167,William,Roberts,M,1994-07-10,2022-05-17,D017
168,Karen,Davis,F,1992-02-12,2023-03-11,D018
169,John,Anderson,M,1989-01-08,2020-10-03,D019
170,Emily,Moore,F,1998-08-22,2022-07-12,D020
171,Daniel,Smith,M,1984-10-31,2023-05-01,D011
172,Rebecca,Williams,F,1986-12-15,2021-04-15,D012
173,Matthew,Anderson,M,1993-09-20,2020-11-10,D013
174,Amy,Clark,F,1991-02-14,2022-09-03,D014
175,James,Hernandez,M,1988-06-05,2023-06-18,D015
176,Stephanie,Johnson,F,1990-11-08,2020-08-25,D016
177,Joseph,Moore,M,1996-04-01,2021-07-01,D017
178,Kimberly,Smith,F,1987-07-10,2022-12-12,D018
179,David,Johnson,M,1994-03-19,2023-03-28,D019
180,Lauren,Anderson,F,1985-06-22,2020-12-21,D020
181,Michael,Moore,M,1992-01-27,2021-05-02,D011
182,Megan,Wilson,F,1986-08-18,2022-02-18,D012
183,William,Johnson,M,1998-04-05,2023-09-21,D013
184,Rebecca,Anderson,F,1991-10-11,2020-09-14,D014
185,David,Smith,M,1989-03-15,2022-06-28,D015
186,Emily,Williams,F,1990-07-09,2021-12-25,D016
187,Robert,Moore,M,1995-05-03,2023-03-03,D017
188,Amanda,Johnson,F,1987-02-14,2020-06-17,D018
189,Joseph,Wilson,M,1986-11-25,2021-09-30,D019
190,Karen,Clark,F,1992-09-20,2022-08-13,D020
191,Michael,Smith,M,1984-12-01,2023-07-18,D011
192,Michelle,Williams,F,1993-08-28,2020-10-10,D012
193,James,Johnson,M,1996-02-19,2022-12-29,D013
194,Stephanie,Davis,F,1989-10-15,2023-06-03,D014
195,John,Moore,M,1991-07-20,2020-08-27,D015
196,Laura,Smith,F,1988-03-03,2021-04-04,D016
197,William,Anderson,M,1990-06-27,2022-02-15,D017
198,Amy,Roberts,F,1995-01-10,2023-01-29,D018
199,Christopher,Smith,M,1987-09-29,2020-11-17,D019
200,Emily,Moore,F,1985-04-14,2022-05-22,D020
