emp_no,birth_date,first_name,last_name,gender,hire_date,dept_no
1184,1998-12-24,Melissa,Ramirez,M,2028-12-23,d028
1185,1999-12-24,Craig,Guerrero,F,2029-12-23,d025
1186,2000-12-23,Carlos,Vega,M,2030-12-23,d029
1187,2001-12-23,Michelle,Nguyen,F,2031-12-23,d023
1188,2002-12-23,Robert,Wolfe,M,2032-12-22,d021
1189,2003-12-23,David,Weaver,F,2033-12-22,d022
1190,2004-12-22,Stephanie,Jones,M,2034-12-22,d024
1191,2005-12-22,Rebecca,Reed,F,2035-12-22,d020
1192,2006-12-22,Janet,Montgomery,M,2036-12-21,d026
1193,2007-12-22,Sabrina,Flores,F,2037-12-21,d023
1194,2008-12-21,Marie,Patton,M,2038-12-21,d022
1195,2009-12-21,Brandon,White,F,2039-12-21,d026
1196,2010-12-21,Adam,Hart,M,2040-12-20,d024
1197,2011-12-21,Anthony,King,F,2041-12-20,d028
1198,2012-12-20,Jay,Smith,M,2042-12-20,d022
1199,2013-12-20,Robin,Robinson,F,2043-12-20,d020
1200,2014-12-20,Michael,Ortega,M,2044-12-19,d023
1201,2015-12-20,Megan,Reid,F,2045-12-19,d020
1202,2016-12-19,Rachael,Williams,M,2046-12-19,d021
1203,2017-12-19,Rhonda,Austin,F,2047-12-19,d021
1204,2018-12-19,Jack,Clark,M,2048-12-18,d025
1205,2019-12-19,Kimberly,Edwards,F,2049-12-18,d023
1206,2020-12-18,Rebecca,Lewis,M,2050-12-18,d025
1207,2021-12-18,James,Powell,F,2051-12-18,d029
1208,2022-12-18,Jonathan,Kirby,M,2052-12-17,d024
1209,2023-12-18,Kayla,Young,F,2053-12-17,d025
1210,2024-12-17,Stephanie,Norris,M,2054-12-17,d024
1211,2025-12-17,Robert,Coffey,F,2055-12-17,d029
1212,2026-12-17,Monica,Scott,M,2056-12-16,d022
1213,2027-12-17,Felicia,Cobb,F,2057-12-16,d028
1214,2028-12-16,Steven,Taylor,M,2058-12-16,d028
1215,2029-12-16,Paul,Walker,F,2059-12-16,d027
1216,2030-12-16,Richard,Yates,M,2060-12-15,d025
1217,2031-12-16,Kiara,Martin,F,2061-12-15,d022
1218,2032-12-15,Sharon,Peters,M,2062-12-15,d023
1219,2033-12-15,Cole,Woods,F,2063-12-15,d027
1220,2034-12-15,Karen,Neal,M,2064-12-14,d029
1221,2035-12-15,Rachel,Hines,F,2065-12-14,d021
1222,2036-12-14,Michael,Park,M,2066-12-14,d029
1223,2037-12-14,Kimberly,Sanchez,F,2067-12-14,d022
1224,2038-12-14,Nicole,Brown,M,2068-12-13,d028
1225,2039-12-14,Edward,Hicks,F,2069-12-13,d023
1226,2040-12-13,Jeffrey,Contreras,M,2070-12-13,d026
1227,2041-12-13,Michelle,Brown,F,2071-12-13,d028
1228,2042-12-13,Jose,May,M,2072-12-12,d027
1229,2043-12-13,Pamela,Mcclure,F,2073-12-12,d025
1230,2044-12-12,Leslie,Hawkins,M,2074-12-12,d023
1231,2045-12-12,Phillip,Gomez,F,2075-12-12,d026
1232,2046-12-12,Amy,Medina,M,2076-12-11,d024
1233,2047-12-12,Robert,Myers,F,2077-12-11,d021
1234,2048-12-11,Jennifer,Wilkerson,M,2078-12-11,d026
1235,2049-12-11,Christopher,Smith,F,2079-12-11,d027
1236,2050-12-11,Shelley,Young,M,2080-12-10,d029
1237,2051-12-11,Rachel,Perez,F,2081-12-10,d022
1238,2052-12-10,Michael,Knight,M,2082-12-10,d027
1239,2053-12-10,Alison,Wall,F,2083-12-10,d028
1240,2054-12-10,Amanda,Conrad,M,2084-12-09,d027
1241,2055-12-10,Anita,Poole,F,2085-12-09,d023
1242,2056-12-09,Taylor,Adams,M,2086-12-09,d028
1243,2057-12-09,Ruben,Smith,F,2087-12-09,d029
1244,2058-12-09,Kevin,Collins,M,2088-12-08,d027
1245,2059-12-09,Amanda,Taylor,F,2089-12-08,d023
1246,2060-12-08,Jonathan,Hayden,M,2090-12-08,d020
1247,2061-12-08,Pamela,Ward,F,2091-12-08,d024
1248,2062-12-08,Thomas,Smith,M,2092-12-07,d029
1249,2063-12-08,Nicholas,Macias,F,2093-12-07,d029
