emp_no,birth_date,first_name,last_name,gender,hire_date,dept_no,from_date,to_date
026,1971-08-12,David,Jones,M,2015-06-07,d006,2012-11-22,2015-01-06
027,1975-08-02,Linda,Johnson,F,2013-08-05,d011,2015-05-27,2016-12-05
028,1991-11-09,William,Jackson,M,2010-12-05,d021,2014-06-19,2015-01-27
029,1983-02-14,Michael,Davis,F,2013-04-04,d019,2011-08-04,2019-06-30
030,1993-03-26,Linda,Lopez,F,2013-01-29,d005,2013-12-17,2017-06-08
031,1977-06-05,James,Rodriguez,F,2012-12-17,d012,2019-07-27,2022-09-25
032,1960-05-13,Michael,Jones,F,2018-01-12,d012,2014-09-25,2019-10-13
033,1974-11-01,Barbara,Anderson,M,2013-11-17,d014,2013-09-28,2015-09-14
034,1965-09-09,Charles,Johnson,M,2013-07-10,d012,2011-04-10,2018-09-28
035,1992-03-05,William,Gonzalez,F,2017-03-17,d019,2010-06-12,2016-07-14
036,1982-08-13,Linda,Gonzalez,M,2018-03-16,d013,2011-08-09,2015-11-16
037,1993-04-25,Thomas,Miller,M,2013-03-30,d018,2014-01-04,2017-08-13
038,1958-07-12,Thomas,Miller,M,2017-11-25,d023,2018-07-07,2020-11-23
039,1986-09-25,Sarah,Davis,F,2021-09-12,d010,2010-07-06,2021-06-25
040,1957-07-16,Joseph,Jackson,F,2021-10-20,d012,2011-12-01,2014-10-05
041,1995-01-07,Mary,Moore,M,2019-12-15,d023,2013-09-01,2020-08-26
042,1965-09-04,Patricia,Miller,F,2012-11-14,d015,2013-09-27,2022-05-08
043,1982-12-28,William,Martin,M,2016-12-15,d002,2020-12-17,2022-11-02
044,1964-07-12,William,Moore,M,2014-08-29,d021,2015-11-13,2022-03-16
045,1987-05-25,Mary,Hernandez,M,2016-04-02,d005,2017-09-29,2019-02-14
046,1987-11-03,David,Davis,M,2014-09-18,d015,2014-07-10,2016-04-23
047,1965-09-10,James,Martinez,M,2019-07-26,d009,2015-12-07,2021-07-31
048,2000-03-19,Sarah,Garcia,M,2019-11-09,d022,2010-08-13,2013-07-01
049,1953-07-03,Joseph,Moore,M,2011-08-30,d020,2019-05-21,2022-01-09
050,1957-06-16,Joseph,Thomas,M,2021-11-09,d014,2010-06-07,2017-10-24
051,1991-07-29,Elizabeth,Anderson,M,2013-10-01,d005,2011-05-02,2011-10-07
052,1973-01-09,Joseph,Miller,F,2015-01-07,d015,2017-09-20,2019-04-12
053,1951-02-06,Elizabeth,Gonzalez,F,2020-03-20,d022,2015-06-21,2019-02-24
054,1954-09-23,Michael,Taylor,M,2011-07-11,d007,2011-05-04,2017-01-02
055,1951-04-21,Robert,Smith,M,2020-07-04,d003,2015-08-21,2021-11-01
056,1983-07-25,Jennifer,Lopez,F,2010-06-16,d013,2010-03-16,2015-09-24
057,1973-03-11,James,Hernandez,M,2013-02-09,d018,2014-05-26,2015-12-29
058,1992-03-30,Robert,Thomas,F,2021-09-18,d008,2020-06-06,2020-07-02
059,1989-10-27,Patricia,Jones,M,2013-05-04,d014,2014-10-22,2018-05-28
060,1972-12-15,Joseph,Williams,F,2017-01-01,d004,2014-02-03,2021-03-03
061,1994-02-19,Mary,Wilson,M,2014-08-18,d013,2013-03-05,2022-11-10
062,1959-03-10,Thomas,Thomas,M,2017-04-20,d021,2017-10-18,2020-06-11
063,1962-09-07,John,Rodriguez,F,2012-03-16,d009,2012-05-30,2017-03-05
064,1997-11-21,Sarah,Anderson,F,2015-10-26,d020,2016-11-06,2016-11-22
065,1974-01-04,Linda,Smith,M,2020-08-04,d010,2010-03-04,2010-05-05
066,1960-05-10,Mary,Garcia,M,2014-08-31,d019,2015-02-28,2022-11-20
067,1966-01-18,Sarah,Garcia,M,2022-03-19,d022,2010-05-18,2022-01-17
068,1953-05-24,James,Jones,F,2018-04-05,d012,2013-12-08,2021-12-03
069,1957-09-14,Susan,Taylor,F,2019-06-08,d014,2012-09-12,2013-04-14
070,1990-12-09,William,Martin,M,2015-05-04,d004,2016-05-24,2017-04-01
071,1957-07-19,Mary,Lopez,M,2010-02-06,d012,2013-05-23,2014-01-25
072,1974-09-05,Susan,Anderson,F,2016-10-19,d005,2021-09-19,2022-04-23
073,1985-06-18,Karen,Davis,M,2017-12-23,d008,2010-02-04,2017-07-02
074,1987-08-18,Linda,Jones,M,2011-11-03,d019,2012-09-15,2018-09-28
075,1979-02-19,David,Lopez,F,2022-03-27,d013,2012-03-19,2018-07-06
076,1978-01-09,Elizabeth,Lopez,F,2017-05-26,d024,2021-07-17,2022-07-02
077,1982-03-26,Linda,Moore,F,2011-10-29,d022,2017-01-12,2019-03-26
078,1987-11-21,Charles,Garcia,M,2013-08-15,d009,2011-07-19,2014-07-16
079,1966-11-20,Jessica,Hernandez,M,2011-01-09,d010,2016-01-26,2022-09-27
080,1958-06-16,Jessica,Taylor,M,2017-06-02,d017,2018-07-05,2022-10-03
081,2000-08-24,Charles,Brown,F,2015-01-30,d003,2016-12-11,2017-09-16
082,1971-12-14,Michael,Martinez,F,2019-03-06,d017,2011-05-23,2013-05-26
083,1981-09-05,Joseph,Miller,M,2016-11-08,d023,2017-09-29,2022-08-04
084,1954-04-16,John,Gonzalez,M,2013-12-28,d010,2016-08-28,2021-08-17
085,1977-08-20,Elizabeth,Anderson,M,2018-07-04,d020,2012-09-13,2017-12-08
086,1999-12-17,Michael,Jones,M,2013-12-18,d011,2013-07-20,2019-06-07
087,1965-12-23,Jennifer,Smith,M,2010-03-09,d009,2010-08-11,2018-06-09
088,1998-09-24,Karen,Jackson,F,2018-08-25,d013,2018-02-23,2022-09-22
089,1969-09-04,Charles,Martin,F,2012-09-18,d019,2010-04-07,2012-10-18
090,1973-12-27,Joseph,Wilson,F,2017-02-16,d007,2015-04-21,2022-01-30
091,1977-09-28,Joseph,Jackson,F,2021-12-01,d023,2016-01-28,2016-02-20
092,1952-08-26,Karen,Martin,M,2022-05-09,d016,2017-04-27,2017-10-23
093,1958-12-06,Sarah,Miller,M,2020-02-20,d011,2013-05-08,2021-07-30
094,1968-03-04,William,Jones,M,2012-01-11,d014,2016-12-08,2020-06-26
095,1973-03-25,John,Smith,M,2011-09-30,d018,2011-01-17,2018-06-15
096,1983-07-23,Karen,Johnson,F,2014-09-04,d014,2010-03-13,2016-06-07
097,1996-08-23,Thomas,Rodriguez,M,2014-09-02,d023,2012-09-02,2012-11-03
098,1985-06-14,Linda,Martinez,F,2012-10-18,d002,2013-02-24,2022-09-24
099,1974-10-31,Linda,Rodriguez,F,2010-03-28,d014,2015-05-02,2022-02-11
100,1958-11-04,James,Lopez,F,2020-05-06,d008,2015-12-03,2018-05-03
101,1983-03-24,Jessica,Jackson,M,2021-01-08,d011,2012-08-16,2015-06-06
102,1956-11-29,Richard,Moore,M,2016-02-21,d001,2013-03-30,2015-01-11
103,1997-01-21,Michael,Jones,F,2017-12-22,d017,2016-05-17,2018-02-21
104,1994-06-03,Jennifer,Williams,M,2014-02-18,d004,2018-07-16,2020-05-24
105,1975-12-11,John,Rodriguez,F,2022-11-24,d009,2018-01-11,2018-12-20
106,1982-11-10,Mary,Hernandez,M,2010-02-07,d004,2011-07-13,2015-11-28
107,1998-08-03,Richard,Moore,M,2013-09-27,d015,2014-02-26,2017-05-05
108,1954-04-11,Karen,Martinez,F,2018-04-30,d006,2010-11-04,2016-11-12
109,1989-04-14,John,Jackson,M,2021-01-08,d017,2018-04-07,2022-04-11
110,1958-11-10,Robert,Brown,M,2014-02-08,d016,2014-06-28,2019-06-21
111,1957-08-16,Richard,Anderson,F,2012-05-20,d002,2014-06-19,2022-06-05
112,2000-04-18,Joseph,Miller,M,2016-04-20,d023,2020-08-27,2020-10-03
113,1967-09-01,Jessica,Martinez,M,2017-09-12,d002,2014-09-12,2015-05-22
114,1966-02-02,Michael,Williams,M,2021-12-15,d011,2012-07-20,2019-01-22
115,1960-04-07,Barbara,Lopez,F,2019-10-01,d001,2012-08-31,2022-08-26
116,2000-11-08,James,Jackson,F,2022-04-26,d024,2019-03-07,2020-06-08
117,1991-02-17,Elizabeth,Williams,F,2022-10-11,d014,2012-06-20,2018-08-27
118,2000-08-01,Patricia,Hernandez,F,2022-12-30,d004,2012-08-18,2015-09-27
119,1956-08-27,Linda,Johnson,F,2020-03-29,d015,2011-03-12,2016-03-18
120,1959-01-08,Karen,Rodriguez,F,2011-10-18,d022,2011-06-11,2021-12-29
121,1986-09-28,Sarah,Rodriguez,M,2017-12-28,d002,2018-12-10,2021-06-24
122,1995-05-09,Thomas,Martinez,M,2011-06-16,d011,2016-10-07,2022-02-25
123,1980-04-08,Susan,Johnson,M,2014-12-26,d002,2018-11-08,2018-12-05
124,1992-07-06,Thomas,Gonzalez,F,2015-03-30,d003,2010-12-16,2011-04-13
125,1958-09-28,Charles,Jackson,F,2018-09-29,d023,2012-09-14,2022-01-02
126,1970-09-28,Elizabeth,Jackson,M,2016-10-22,d014,2010-11-25,2016-06-19
127,1953-09-02,Joseph,Rodriguez,F,2014-11-08,d014,2017-11-02,2022-09-27
128,1969-03-01,Jessica,Martinez,M,2013-04-02,d005,2014-07-17,2022-04-18
129,1953-03-22,Mary,Williams,F,2010-02-04,d020,2010-08-16,2012-06-11
130,1992-11-08,Thomas,Hernandez,M,2020-01-31,d018,2014-05-20,2014-11-17
131,1970-10-07,James,Jackson,M,2010-12-10,d021,2018-12-09,2021-03-18
132,1966-04-05,Patricia,Thomas,F,2020-11-28,d003,2017-11-25,2020-04-15
133,1951-12-16,Sarah,Davis,M,2016-02-20,d011,2011-05-08,2018-06-29
134,1952-05-07,Sarah,Gonzalez,F,2011-07-17,d009,2010-12-16,2013-09-28
135,1961-06-12,Richard,Miller,M,2010-11-22,d021,2011-04-29,2022-03-22
136,1999-11-03,Mary,Thomas,F,2021-10-19,d019,2014-12-06,2020-03-27
137,1966-03-08,Jessica,Johnson,M,2016-05-16,d002,2011-07-27,2014-04-29
138,1964-05-15,Charles,Jackson,F,2013-12-18,d008,2013-02-25,2015-11-16
139,1985-05-04,Jennifer,Moore,M,2017-09-27,d016,2010-04-07,2021-10-16
140,1980-05-29,Linda,Moore,F,2020-06-12,d006,2012-04-03,2020-09-11
141,1995-11-18,Jessica,Moore,F,2012-03-14,d022,2011-04-12,2011-12-19
142,1976-07-03,Joseph,Thomas,M,2020-11-02,d024,2013-08-16,2020-02-20
143,1981-10-27,Jessica,Taylor,M,2019-01-11,d006,2010-07-16,2011-04-28
144,1950-05-12,Sarah,Martinez,F,2015-05-29,d007,2011-11-18,2021-01-13
145,1992-12-12,Charles,Rodriguez,F,2017-08-10,d008,2016-04-05,2019-12-21
146,1976-09-14,Elizabeth,Brown,M,2022-06-11,d002,2012-11-22,2021-12-17
147,1965-01-07,Linda,Martinez,M,2017-03-14,d015,2010-06-02,2018-11-16
148,1961-02-11,Mary,Johnson,F,2016-12-03,d024,2010-10-15,2011-04-27
149,1980-02-12,Thomas,Davis,F,2011-11-30,d005,2011-05-09,2014-02-23
150,1991-07-21,Thomas,Jackson,M,2012-01-07,d020,2011-01-20,2015-09-21
